language,section,text,XLM-RoBERTa_Time,GraphemesCount,BytesCount,XLM-RoBERTa_ReplTokensCount,XLM-RoBERTa_TokensCount,nllb-200-distilled-600M_Time,nllb-200-distilled-600M_ReplTokensCount,nllb-200-distilled-600M_TokensCount,gpt-4_Time,gpt-4_ReplTokensCount,gpt-4_TokensCount,Char-Level-Entropy
Nepali,Preamble,"मानव परिवारका सबै सदस्यहरूको अन्तर्निहित मान तथा सम्मान र अवछिन्न अधिकारहरूको मान्यता नै स्वतन्त्रता, न्याय, र शान्तिको आधार भएकोले,मानव अधिकारहरू प्रति अवहेलना तथा अनादरको परिणामबाटै नै काम भड मानव जातिको अन्त स्करणमा चिट पुर्‍याइएको हुनाले र मानवहरूले धर्म र वाक स्वन्त्रता तथा भए र अभावबाट मुक्ति पाउनु पर्छ भन्ने सर्व साधारण जनताको घोषित आकांक्षा भएकोले,अत्याचार र दमनको विरुद्ध अरू उपाय नपाएर विद्रोह गर्नू नै अन्तिम उपाय हो भन्ने नउठानुन हो भने मानव अधिकारहरू कानुनी शासनद्वारा संरक्षित रहनु अति आवश्यक भएकोले,राष्ट्रहरूका बीच मैत्री सम्बन्ध वृद्धि गर्न आवश्यक भएकोलेसंयुक्त राष्ट्र संघका जनता हरूले मानवका मौलिक अधिकारहरू र मनुष्यको मान तथा कदर र नर -नारीहरूको सम्मान अधिकारहरू प्रति पुनः विश्वासको पुस्ट्याइँ अधिकार पत्रमा गरि बढि स्वतन्त्रताको आधारमा सामाजिक प्रगति एवं जीवनकोसदस्य राष्ट्रहरू र ती राष्ट्रहरूका अधिकारमा रहेका प्रादेशिक जनताहरूमा समेत ती अधिकारहरू र स्वतन्त्र हरू को विश्वव्यापी र प्रभावशाली मान्यता प्राप्त गर्नको लागि प्रत्येक व्यक्ति र समाजको अंगले निरन्तर मनमा राखि राष्ट्रिय र अन्तरराष्ट्रिय प्रगतिशील कदमहरू द्वारा यी अधिकार र सवतन्त्रताहरू प्रति दीक्षा तथा शिक्षाद्वारा श्रद्धा बढाउन प्रयत्न गरून् भनि साधारण सभाले मानव अधिकारको यस विश्वव्यापी घोषणालाई सबै जनता र राष्ट्रको निम्ति सजिया मापदण्ड भनि घोषणा गर्दछ",3.10361123085022,864.0,3348.0,0.0,305.0,2.321253061294556,0.0,316.0,0.4846858978271484,870.0,1267.0,4.64680134049611
Nepali,Article-1,सबै व्यक्ति हरू जन्मजात स्वतन्त्र हुन ती सबैको समान अधिकार र महत्व छ। निजहरूमा विचार शक्ति र सद्धिचार भएकोले निजहरूले आपसमा भातृत्वको भावना बाट व्यवहार गर्नु पर्छ।,3.143387794494629,117.0,437.0,0.0,40.0,2.2978663444519043,0.0,40.0,0.4646577835083008,118.0,169.0,4.5407798475546
Nepali,Article-2,"जाति, वर्ण, लिङ्ग, भाषा, धर्म राजनैतिक वा हरू विचार राष्ट्रिय वा सामाजिक उत्पति सम्पत्ति वा अरू कुनै मर्यादाको आधारमा भेदभाव नगरि प्रत्येक व्यक्तिलाई यस घोषणामा उल्लेखित अधिकार र स्वतन्त्रता को अधिकार हुनेछ। यसको अतिरिक्त चाहे कुनै देश सवतन्त्र होस वा संरक्षित, स्वशासनरहित वा परिमित प्रभुशत्ता भएको होस त्यहाँका व्यक्तिहरूमा राजनैतिक क्षेत्रीय वा अन्तराष्ट्रिय भेदभाव गरिने छैन।",3.0795488357543945,259.0,1017.0,0.0,90.0,2.38822603225708,0.0,95.0,0.4392409324645996,268.0,379.0,4.598223702081539
Nepali,Article-3,प्रत्येक व्यक्तिलाई व्यक्तिक स्वतन्त्रता र आत्मरक्षाको अधिकार हुनेछ।,3.0763099193573,46.0,190.0,0.0,14.0,2.3655669689178467,0.0,15.0,0.4467670917510986,48.0,66.0,4.10389660376288
Nepali,Article-4,बाँधा वा दास बनाइ कसैलाई पनि राखिने छैन। दासत्व र दास दासीको व्यापार प्रत्येक रूपमा निषेध गरिएको छ।,2.2966530323028564,68.0,263.0,0.0,29.0,2.3311071395874023,0.0,27.0,0.0008022785186767,78.0,102.0,4.38863525043701
Nepali,Article-5,कुनै व्यक्तिलाई पनि शारीरिक यातना दिइने छैन अथवा निर्दयी अमानुषिक वा अपमानजनक व्यवहार वा सजाय गरिने छैन।,2.2381129264831543,73.0,280.0,0.0,27.0,2.2589259147644043,0.0,29.0,0.0007011890411376,84.0,113.0,4.3388296075989
Nepali,Article-6,प्रत्येक व्यक्तिलाई कानूनको द्दष्टिमा जहाँसुकै व्यक्तिको रुपमा मान्यता पाउने अधिकार छ ।,2.2329561710357666,56.0,239.0,0.0,20.0,2.4516141414642334,0.0,22.0,0.012531042098999,62.0,88.0,4.427115216107782
Nepali,Article-7,सबै व्यक्तिहरु कानूनको द्दष्टिमा समान छन् र बिना भेदमाव कानूनको समान संरक्षणको हकदार हुनेछन् । सबैलाई यस घोषणाको उल्लङ्घन गरी गरिएको भेदमान वा त्यस्तो भेदभाव गर्न गरिएको उक्साहट विरुद्ध समान संरक्षणको अधिकार छ ।,2.388499975204468,150.0,567.0,0.0,58.0,2.341226100921631,0.0,56.0,0.0023760795593261,154.0,220.0,4.600323627638606
Nepali,Article-8,संविधान वा कानुन द्वारा दिइएको मौलिक अधिकारहरू भङ्ग गर्ने कार्यहरूको विरुद्ध योग्य राष्ट्रिय अदालतको प्रभावोत्पादक उपचारको सबैलाई अधिकार हुनेछ।,2.2588419914245605,96.0,393.0,0.0,28.0,2.8520939350128174,0.0,32.0,0.0011382102966308,112.0,151.0,4.626030520441394
Nepali,Article-9,कसैलाई पनि मनमानी ढाँगले देश निष्कासित वा गिरफ्तार वा नजर बन्द गरिने छैन।,2.1564722061157227,51.0,195.0,0.0,20.0,2.569441080093384,0.0,20.0,0.0004801750183105,58.0,77.0,4.31934048430489
